1970-01-01 00|32|4|45,100|27,300|95,000
1970-01-01 01|32|4|45,100|27,300|95,001
1970-01-01 02|32|4|45,100|27,300|95,002
1970-01-01 03|32|4|45,100|27,300|95,003
1970-01-01 04|32|4|45,100|27,300|95,004
1970-01-01 05|32|4|45,100|27,300|95,005
1970-01-01 06|32|4|45,100|27,300|95,006
1970-01-01 07|32|4|45,100|27,300|95,007
1970-01-01 08|32|4|45,100|27,300|95,008
1970-01-01 09|32|4|45,100|27,300|95,009
1970-01-01 10|32|4|45,100|27,300|95,010
1970-01-01 11|32|4|45,100|27,300|95,011
1970-01-01 12|32|4|45,100|27,300|95,012
1970-01-01 13|32|4|45,100|27,300|95,013
1970-01-01 14|32|4|45,100|27,300|95,014
1970-01-01 15|32|4|45,100|27,300|95,015
1970-01-01 16|32|4|45,100|27,300|95,016
1970-01-01 17|32|4|45,100|27,300|95,017
1970-01-01 18|32|4|45,100|27,300|95,018
1970-01-01 19|32|4|45,100|27,300|95,019
1970-01-01 20|32|4|45,100|27,300|95,020
1970-01-01 21|32|4|45,100|27,300|95,021
1970-01-01 22|32|4|45,100|27,300|95,022
1970-01-01 23|32|4|45,100|27,300|95,023
